SMILES,Crippen_logp
O=C1c2ccncc2C(O)N1c1c(Cl)cccc1Cl,3.0397000000000007
Clc1cccnc1CBr,2.629900000000001
Cc1cc(Br)cnc1NCC(C)C,3.2204200000000016
Cc1ccncc1NC1CCSC1,2.3074200000000005
FC(F)(F)c1ccc(-c2cccnc2)cc1Cl,4.4208000000000025
CCCc1cc(C(=O)O)cc(Cl)n1,2.3857
O=[N+]([O-])c1ccc(OCc2cccnc2)cc1F,2.7079000000000004
CN1CCN(S(=O)(=O)c2ccc(Cl)nc2)CC1,0.6710999999999998
Nc1ccc(CBr)nc1,1.5587
CCc1ccc[n+](NC(=O)c2ccccc2)c1.[Cl-],-1.0755999999999983
c1cncc(N2CC3CNCC3C2)c1,0.7371999999999999
C=Cc1cnc(NC(C)(C)C)c(C)c1,3.243420000000002
O=C(Nc1ccncc1)c1cnc2ccc(Cl)cc2c1O,3.2411000000000008
COc1ccc(C(=O)O)cc1NCc1ccccn1,2.4005
N#Cc1ccnc2c1OCCO2,0.7244799999999998
Cc1cc(Nc2ccccn2)cc(C2CCNCC2)n1,2.9956200000000006
O=C(O)CNc1ccc(C(F)(F)F)cn1,1.5969
C[C@H](N)c1ccncc1.Cl.Cl,1.9449000000000005
Cl.Cl.Nc1ccc(OC2CCCC2)nc1,2.8288
O=c1[nH]c2ccc([N+](=O)[O-])cc2c2ccccc12,2.589500000000001
CCOC(=O)c1cnc(Cl)c([N+](=O)[O-])c1Cl,2.4733
O=C(O)Cc1c(C(F)(F)F)ccnc1Br,2.490000000000001
Clc1ccnc(Cl)c1I,2.9930000000000003
Fc1ccc(NCc2ccccn2)c(F)c1,2.9719000000000015
Cc1cc(C(=O)O)cnc1Oc1ccccc1,2.8805200000000006
Cc1nc2ccc(Cl)nc2n1C(C)C,2.974020000000001
O[C@H]1CCc2cccnc21,1.0612
CNc1cncc(C(=O)O)c1,0.8214999999999999
ClCC#Cc1cncc2ccccc12,2.825100000000001
Brc1cnc2ncccc2c1,2.3922999999999996
CCOC(=O)c1cc2cccnc2[nH]1,1.7395999999999998
O=C(O)Cc1nc(-c2cccc(F)c2F)ccc1F,2.793000000000001
Cc1ccc(-c2nc3ccc(C)cn3c2C(=O)O)cc1,3.316340000000001
CNCc1ccc(-c2ccco2)nc1,2.061
O=C(O)c1ccnc2cc(Br)ccc12,2.695500000000001
O=C(O)c1ccnc(-c2ccoc2)c1,2.0398
BrCCCOc1cncc(Br)c1,3.007900000000001
O=C(O)c1ccccc1N/N=C/c1cccnc1,2.2257999999999996
Cc1cc(CO)c[nH]c1=O,0.1756199999999999
N#Cc1cnc2ccsc2c1Cl,2.8213800000000004
Nc1ccccc1OCCc1ccccn1,2.2853000000000003
CC(C)(C)C1CCc2nc3ccccc3c(C(=O)O)c2C1,4.084000000000003
CN1CCN2c3ncccc3C(=O)c3ccccc3C2C1,2.1190999999999995
CC(=O)N1CCCCC1c1c[nH]c(=S)c(C)c1,3.1261100000000015
OCc1ccnc2c1OCCO2,0.34509999999999996
CC(C)(C)OC(=O)Nc1cncc(CCO)c1,1.9633999999999998
Cc1[nH]nc2c1c(=O)[nH]c1ccc(Cl)cc12,2.36622
Oc1ccnc2ccncc12,1.3354
NNC(=O)c1cc(C(F)(F)F)nc(C(F)(F)F)c1,1.7227
Cc1c(F)cncc1Br.Cl,2.7134200000000006
CCCN1CCCC1c1cnc(Cl)c(C)c1,3.590320000000002
Clc1ncccc1COCc1ccccc1,3.4518000000000013
O=C(O)c1cc(F)c(F)cc1-c1cccnc1,2.7250000000000005
CCOC(=O)c1cnc2cc(Br)ccc2c1O,2.8796000000000013
Fc1cncc(S)c1,1.5093999999999999
COc1cnccc1CN.Cl.Cl,1.3924999999999998
CC(C)(C)OC(=O)N1CCC(Oc2ccccn2)CC1,2.8599000000000014
Sc1ncc(-c2ccncc2)cc1-c1ccncc1,3.4943000000000017
COC(=O)c1c(OC)cc(C)nc1Cl,1.83862
O=C(O)c1ccc2c(Br)c(F)ccc2n1,2.834600000000001
O=C1Nc2cccnc2N(C(=O)CCl)c2ccccc21,2.5508000000000006
Cc1c(I)ccc2ccc(=O)[nH]c12,2.4411199999999997
Fc1ncc(-c2c(F)c(F)c(F)c(F)c2F)cc1Cl,4.2366
Cc1ccc(Oc2ccc(C=NO)cn2)cc1,2.9904200000000003
O=S(=O)(Cl)c1cccc2cccnc12,2.1623
FC(F)Oc1cccc(C(F)(F)F)n1,2.7018000000000004
Cn1ccc(C(N)c2cccnc2)n1,0.8632000000000001
Cl.O=C(O)C1(c2ccccn2)CC1,1.6196
CCc1ccc(C(=O)c2ccncc2N)cc1,2.4572000000000003
Cc1cccnc1/C=C/C(=O)O.Cl,1.9096199999999999
O=C(Cc1ccncc1)c1ccc(Cl)cc1Cl,3.8138000000000014
Cc1cncc(C=O)c1,1.20252
O=c1cc(O)c2cccc3c2n1-c1ccccc1CC3,2.7949
CNCc1cnc(SC2CCCCC2)cc1C,3.534220000000002
ClCc1cn(Cc2ccnc(Cl)c2)nn1,2.1136
COc1ccc(C(=O)Oc2ccccc2)nc1Cl,2.9628000000000014
Cc1ccnc(NC(C)C)c1N,1.79252
Nc1ncccc1OCc1cccs1,2.3043000000000005
CCOC(=O)c1nc2ccccn2c1C=O,1.3235
CCOC(=O)c1cc2ccc(F)cc2nc1C,2.859020000000001
Cc1cccc(C2CCCN2)n1,1.8145199999999997
O=C(O)c1cc(Cl)cn(Cc2cccc(Cl)c2)c1=O,2.901600000000002
Nc1cccc([N+](=O)[O-])c1C(=O)c1cccnc1,1.803
NNC(=O)CCn1ccc(=O)c2cc(Cl)ccc21,1.0349
O=c1c(-c2ccccc2)c(O)[nH]c2ccccc12,2.9007000000000005
COc1cc(O)c(C)cn1,1.10422
Cc1c(C)c2cccnc2c2ncccc12,3.399840000000002
Cc1n[nH]c2c1C(c1cccnc1)C(C#N)=C(N)O2,1.3313
COc1c2c(nc3ccccc13)OC(C(C)(O)CO)C2,1.2901999999999996
