SMILES,Crippen_logp,NumHDonors,NumHAcceptors,NumRotatableBonds,TPSA,natoms,refractivity,HAS_PYR_H,HAS_MULTIPLE_PYR,HAS_FRAGMENTS,HAS_BAD_NITROGEN,MOL_WT,HAS_SULFONYL_HALIDE,HAS_ACID_HALIDES,HAS_PYRADINONE
COC(=O)c1cc(I)c(=O)[nH]c1C,1.07452,1,3,3,59.16,21,55.8562,True,False,False,False,293.0599999999999,False,False,True
Cc1ccc(-c2ccc(C#N)c(=O)[nH]2)cc1,2.2220000000000004,1,2,2,56.65,26,61.95070000000002,True,False,False,False,210.23600000000005,False,False,True
CC#CCn1cccc(C(=O)O)c1=O,0.5697999999999999,1,4,2,59.3,23,51.111300000000014,True,False,False,False,191.1860000000001,False,False,True
CC(C)(C)OC(=O)n1cc([N+](=O)[O-])ccc1=O,1.5396999999999998,0,6,1,91.44,29,58.98840000000003,True,False,False,False,240.2150000000001,False,False,True
CCCCCC(=O)c1c(O)cc(C)[nH]c1=O,2.1519199999999996,2,3,8,70.16,33,61.937000000000026,True,False,False,False,223.27200000000013,False,False,True
Cc1cc(=O)n(C)c2ccc([N+](=O)[O-])cc12,1.7551199999999998,0,4,3,65.14,26,60.580400000000026,True,False,False,False,218.21200000000007,False,False,True
O=c1cc(C(F)(F)F)c2cccc(Br)c2[nH]1,3.3094,1,1,0,32.86,21,57.270700000000005,True,False,False,False,292.0539999999999,False,False,True
CC(C)NS(=O)(=O)c1ccc(=O)[nH]c1,0.0615999999999999,2,3,5,79.03,26,52.52020000000002,True,False,False,False,216.26200000000009,False,False,True
Nc1ccc2ccc(=O)[nH]c2c1,1.1103,2,2,1,58.88,20,48.981100000000005,True,False,False,False,160.17600000000004,False,False,True
Cn1ccc2ccc(C(=O)O)cc2c1=O,1.2367,1,4,2,59.3,24,56.14830000000001,True,False,False,False,203.19700000000003,False,False,True
NC(=O)Cn1cc(C(F)(F)F)cc(Cl)c1=O,1.0057999999999998,1,3,2,65.09,22,49.9084,True,False,False,False,254.59500000000003,False,False,True
CCOc1cc(Br)c(C(=O)OC)[nH]c1=O,1.3226999999999998,1,4,5,68.39,25,57.271200000000015,True,False,False,False,276.0859999999998,False,False,True
Cc1cc(=O)[nH]c2ccc(I)cc12,2.4411200000000006,1,1,1,32.86,21,62.022700000000015,True,False,False,False,285.0839999999999,False,False,True
Cc1ccc2c(c1)c(C)cc(=O)n2CC(=O)O,1.7029399999999997,1,4,4,59.3,30,65.31780000000002,True,False,False,False,231.2510000000001,False,False,True
CCOC(=O)c1ccc(-c2ccccc2)[nH]c1=O,2.2185999999999995,1,3,4,59.16,31,68.45520000000002,True,False,False,False,243.26200000000009,False,False,True
O=c1[nH]cc(Br)c2cc(C(F)(F)F)ccc12,3.309400000000001,1,1,0,32.86,21,57.270700000000005,True,False,False,False,292.0539999999999,False,False,True
NCc1ccc(C2CC2)[nH]c1=O,0.7109999999999999,2,2,3,58.88,24,46.92910000000001,True,False,False,False,164.20800000000008,False,False,True
CC(O)c1cc2cc3c(cc2n(C)c1=O)OCCCO3,1.7530999999999994,1,5,4,60.69000000000001,37,75.42980000000004,True,False,False,False,275.30399999999963,False,False,True
C#CCn1ccc(O)c(Cc2c(F)cccc2Cl)c1=O,2.5704,1,3,4,42.23,31,75.4158,True,False,False,False,291.7089999999998,False,False,True
Cc1cc2ccc(F)cc2c(=O)n1CC(=O)O,1.5336199999999998,1,4,3,59.3,27,60.538800000000016,True,False,False,False,235.21400000000008,False,False,True
Cn1c(=O)c2cc(C(=O)O)c(=O)n(C)c2n(C)c1=O,-1.3658999999999994,1,8,4,103.3,30,66.6303,True,False,False,False,265.2249999999998,False,False,True
CCC(=O)c1c(O)cc(C)[nH]c1=O,0.98162,2,3,5,70.16,24,48.08600000000002,True,False,False,False,181.1910000000001,False,False,True
Cc1cccc2c(Cl)cc(=O)[nH]c12,2.489920000000001,1,1,1,32.86,21,54.31570000000001,True,False,False,False,193.63300000000007,False,False,True
CCn1c(-c2ccccc2)cc(-c2ccccc2)cc1=O,4.202200000000004,0,2,4,22.0,38,87.24800000000006,True,False,False,False,275.3509999999996,False,False,True
