SMILES,Crippen_logp,NumHDonors,NumHAcceptors,NumRotatableBonds,TPSA,natoms,refractivity,HAS_PYR_H,HAS_MULTIPLE_PYR,HAS_FRAGMENTS,HAS_BAD_NITROGEN,MOL_WT,HAS_SULFONYL_HALIDE,HAS_ACID_HALIDES,INCHI,INCHI_KEY,CID,VENDORS,Combi-Blocks_link,Sigma-Aldrich_link,TCI (Tokyo Chemical Industry)_link,Thermo Fisher Scientific_link,"VWR, Part of Avantor_link",Ambeed_link,Name,Etot (Eh),C6AA_DISPERSION,C8AA_DISPERSION,Molecular Polarizability,Dipole from Density,HOMO/LUMO Gap (eV),Repulsion Energy (Eh),Isotropic ES (Eh),AnisotropicES (Eh),AnisotropicXC (Eh),Dispersion Energy (Eh),HOMO Energy (Eh),LUMO Energy (Eh),NFOD,Molecular Dipole,HAS_5MEMBERED_HETEROCYCLE_OR_QUINOLINE,HAS_PYRADINONE,RDMOL,ORTHO_C_1,PYR_N,ORTHO_C_2,META_C_2,PARA_C,META_C_1,N_TO_PARA_STERIMOL_L,N_TO_PARA_STERIMOL_B1,N_TO_PARA_STERIMOL_B5,FRACTION_VBUR_N_3.5,FRACTION_VBUR_PARA_C_3.5
Nc1ncccc1N=Cc1ccccc1,2.4144,1,3,3,51.27,26,62.3454,TRUE,FALSE,FALSE,FALSE,197.241,FALSE,FALSE,"InChI=1S/C12H11N3/c13-12-11(7-4-8-14-12)15-9-10-5-2-1-3-6-10/h1-9H,(H2,13,14)",KALDJMVBXSDADO-UHFFFAOYSA-N,10465307,['Combi-Blocks'],https://www.combi-blocks.com/cgi-bin/find.cgi?QZ-3703,NONE,NONE,NONE,NONE,NONE,KALDJMVBXSDADO-UHFFFAOYSA-N,-40.04995269,9121.622372,222280.6354,153.032797,1.569,2.116579895,0.678214507,0.023979549,0.006135993,0.030812129,-0.024839807,-0.3578951,-0.2801123,0.4596,1.296,FALSE,FALSE,<rdkit.Chem.rdchem.Mol object at 0x16909fe60>,1,2,3,4,5,6,8.649850827,1.80969917,8.702698448,0.461767378,0.490420006
COC(=O)c1ccc(B(O)O)cn1,-1.452,2,5,5,79.65,21,45.4021,TRUE,FALSE,FALSE,FALSE,180.956,FALSE,FALSE,"InChI=1S/C7H8BNO4/c1-13-7(10)6-3-2-5(4-9-6)8(11)12/h2-4,11-12H,1H3",OJRWQJNSMWIFMD-UHFFFAOYSA-N,45588187,"['Ambeed', 'Sigma-Aldrich', 'Combi-Blocks']",https://www.combi-blocks.com/cgi-bin/find.cgi?BB-5092,https://www.sigmaaldrich.com/catalog/product/aldrich/cds005468?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral,NONE,NONE,NONE,https://www.ambeed.com/products/1072945-86-8.html,OJRWQJNSMWIFMD-UHFFFAOYSA-N,-39.57184907,5408.040497,129417.6039,113.641468,2.914,2.414716947,0.403187236,0.122414819,0.003413549,0.009427779,-0.016779087,-0.3771378,-0.2883986,0.2664,3.135,FALSE,FALSE,<rdkit.Chem.rdchem.Mol object at 0x169010120>,4,12,11,7,6,5,6.092381132,1.897209918,5.326757374,0.51567159,0.514134132
CCOC(=O)C(N)Cc1ccncc1,0.5145,1,4,6,65.21,28,52.5494,TRUE,FALSE,FALSE,FALSE,194.234,FALSE,FALSE,"InChI=1S/C10H14N2O2/c1-2-14-10(13)9(11)7-8-3-5-12-6-4-8/h3-6,9H,2,7,11H2,1H3",PGLHBDYDTHKWNM-UHFFFAOYSA-N,5214466,['Sigma-Aldrich'],NONE,https://www.sigmaaldrich.com/catalog/product/aldrich/cds020927?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral,NONE,NONE,NONE,NONE,PGLHBDYDTHKWNM-UHFFFAOYSA-N,-42.52663892,7958.27664,181093.67,136.829819,2.961,3.194856731,0.52724442,0.061670442,0.002476418,0.023392415,-0.023494121,-0.3658773,-0.2484684,0.1554,3.478,FALSE,FALSE,<rdkit.Chem.rdchem.Mol object at 0x1649c8660>,10,11,12,13,8,9,11.09759399,1.889107693,4.467185925,0.415987234,0.628587402
OCc1cccnc1N1CCCCC1,1.5642,1,3,3,36.36,30,56.2238,TRUE,FALSE,FALSE,FALSE,192.262,FALSE,FALSE,"InChI=1S/C11H16N2O/c14-9-10-5-4-6-12-11(10)13-7-2-1-3-8-13/h4-6,14H,1-3,7-9H2",HGYMJKQSUHUNAO-UHFFFAOYSA-N,2794675,['Combi-Blocks'],https://www.combi-blocks.com/cgi-bin/find.cgi?QJ-0739,NONE,NONE,NONE,NONE,NONE,HGYMJKQSUHUNAO-UHFFFAOYSA-N,-41.63911147,8640.648012,195536.0267,142.044162,2.622,3.339801838,0.565191177,0.038892064,0.007755156,0.021891528,-0.027732885,-0.3504016,-0.2276661,0.1284,3.098,FALSE,FALSE,<rdkit.Chem.rdchem.Mol object at 0x16903a030>,5,6,7,2,3,4,5.946153156,1.965158697,5.880967346,0.582224888,0.507122391
CNc1nc(CN)ccc1C,0.89042,2,3,5,50.94,24,46.4121,TRUE,FALSE,FALSE,FALSE,151.213,FALSE,FALSE,"InChI=1S/C8H13N3/c1-6-3-4-7(5-9)11-8(6)10-2/h3-4H,5,9H2,1-2H3,(H,10,11)",LOOMGRLFSKWZQQ-UHFFFAOYSA-N,9964147,['Combi-Blocks'],https://www.combi-blocks.com/cgi-bin/find.cgi?QK-2404,NONE,NONE,NONE,NONE,NONE,LOOMGRLFSKWZQQ-UHFFFAOYSA-N,-32.5196023,5629.137583,126896.4429,116.373314,3.113,3.442499774,0.45631245,0.028716125,0.008775831,0.024410378,-0.01952162,-0.3472527,-0.2207432,0.1209,3.159,FALSE,FALSE,<rdkit.Chem.rdchem.Mol object at 0x169073300>,2,3,4,7,8,9,5.379626455,1.971215896,4.33454672,0.618500745,0.471993804
CCOC(=O)c1cc(C)cc(Cl)n1,2.22012,0,3,4,39.19,23,49.9405,TRUE,FALSE,FALSE,FALSE,199.637,FALSE,FALSE,"InChI=1S/C9H10ClNO2/c1-3-13-9(12)7-4-6(2)5-8(10)11-7/h4-5H,3H2,1-2H3",OHUJWVBOFOMHFC-UHFFFAOYSA-N,46835592,"['Combi-Blocks', 'Ambeed']",https://www.combi-blocks.com/cgi-bin/find.cgi?QA-6041,NONE,NONE,NONE,NONE,https://www.ambeed.com/products/1122090-50-9.html,OHUJWVBOFOMHFC-UHFFFAOYSA-N,-39.99400439,6968.773194,176808.63,128.525553,5.347,2.781244858,0.444796478,0.054713732,0.001966196,0.014099851,-0.020000405,-0.3928656,-0.2906568,0.2123,5.676,FALSE,FALSE,<rdkit.Chem.rdchem.Mol object at 0x1646c3a70>,5,12,10,9,7,6,6.377195832,1.74398182,7.231437269,0.567916045,0.548220276
Cc1c(C(=O)O)cnc(O)c1C(=O)O,0.49202,3,6,4,107.72,21,44.5574,TRUE,FALSE,FALSE,FALSE,197.146,FALSE,FALSE,"InChI=1S/C8H7NO5/c1-3-4(7(11)12)2-9-6(10)5(3)8(13)14/h2H,1H3,(H,9,10)(H,11,12)(H,13,14)",SNXBCAHEWAXPDD-UHFFFAOYSA-N,12291473,['Combi-Blocks'],https://www.combi-blocks.com/cgi-bin/find.cgi?HB-8107,NONE,NONE,NONE,NONE,NONE,SNXBCAHEWAXPDD-UHFFFAOYSA-N,-43.98468861,5732.254909,135723.3752,115.373359,3.548,2.654803003,0.409907804,0.119701809,0.001130247,0.003941993,-0.019883354,-0.3957392,-0.298177,0.2487,3.623,FALSE,FALSE,<rdkit.Chem.rdchem.Mol object at 0x164570b30>,6,7,8,10,1,2,6.381266873,1.830010864,5.481415174,0.469722559,0.671368338
N#Cc1ccc(-c2ccccc2)cn1,2.62028,0,2,1,36.68,22,54.388,TRUE,FALSE,FALSE,FALSE,180.21,FALSE,FALSE,"InChI=1S/C12H8N2/c13-8-12-7-6-11(9-14-12)10-4-2-1-3-5-10/h1-7,9H",FOMAKWRPGGQFNG-UHFFFAOYSA-N,935276,"['Combi-Blocks', 'Ambeed']",https://www.combi-blocks.com/cgi-bin/find.cgi?QV-3488,NONE,NONE,NONE,NONE,https://www.ambeed.com/products/39065-45-7.html,FOMAKWRPGGQFNG-UHFFFAOYSA-N,-35.55867144,7439.792815,187659.2653,138.672789,4.985,2.578000997,0.696777328,0.014093234,0.003962293,0.039309676,-0.022274726,-0.3882412,-0.2935014,0.27,6.192,FALSE,FALSE,<rdkit.Chem.rdchem.Mol object at 0x1690c8ac0>,2,13,12,5,4,3,6.975739562,2.002674254,7.013221808,0.482855013,0.506481783
CCOC(=O)C(N)Cc1cccnc1,0.5145,1,4,6,65.21,28,52.5494,TRUE,FALSE,FALSE,FALSE,194.234,FALSE,FALSE,"InChI=1S/C10H14N2O2/c1-2-14-10(13)9(11)6-8-4-3-5-12-7-8/h3-5,7,9H,2,6,11H2,1H3",NDOXTMSPWSHLBJ-UHFFFAOYSA-N,3477522,['Ambeed'],NONE,NONE,NONE,NONE,NONE,https://www.ambeed.com/products/66423-60-7.html,NDOXTMSPWSHLBJ-UHFFFAOYSA-N,-42.5255908,7961.839769,181176.1999,136.865504,3.398,3.233878335,0.541346482,0.060695419,0.006819899,0.023097154,-0.023886172,-0.3723716,-0.2535288,0.1646,3.555,FALSE,FALSE,<rdkit.Chem.rdchem.Mol object at 0x1649e4f90>,11,12,13,8,9,10,8.577624044,1.786981396,7.561776046,0.427529817,0.49937104
CC(C)(C)Oc1cccnc1,2.2589,0,2,1,22.12,24,44.618,TRUE,FALSE,FALSE,FALSE,151.209,FALSE,FALSE,"InChI=1S/C9H13NO/c1-9(2,3)11-8-5-4-6-10-7-8/h4-7H,1-3H3",RGXRKEDPDCTEFG-UHFFFAOYSA-N,817350,"['Ambeed', 'Combi-Blocks']",https://www.combi-blocks.com/cgi-bin/find.cgi?QV-9060,NONE,NONE,NONE,NONE,https://www.ambeed.com/products/31776-90-6.html,RGXRKEDPDCTEFG-UHFFFAOYSA-N,-32.88619201,5510.280923,125173.8667,114.369158,1.752,3.345995947,0.457798432,0.025484824,0.006516432,0.019381373,-0.019445661,-0.3635265,-0.2405634,0.1062,2.284,FALSE,FALSE,<rdkit.Chem.rdchem.Mol object at 0x1690c90e0>,8,9,10,5,6,7,5.811538763,2.014740868,6.628826628,0.43430861,0.46681653
