SMILES,Crippen_logp,NumHDonors,NumHAcceptors,NumRotatableBonds,TPSA,natoms,refractivity,HAS_PYR_H,HAS_MULTIPLE_PYR,HAS_FRAGMENTS,HAS_BAD_NITROGEN,MOL_WT,HAS_SULFONYL_HALIDE,HAS_ACID_HALIDES,HAS_PYRADINONE,INCHI,INCHI_KEY,CID,VENDORS,Combi-Blocks_link,Sigma-Aldrich_link,TCI (Tokyo Chemical Industry)_link,Thermo Fisher Scientific_link,"VWR, Part of Avantor_link",Ambeed_link,Name,Etot (Eh),C6AA_DISPERSION,C8AA_DISPERSION,Molecular Polarizability,Dipole from Density,HOMO/LUMO Gap (eV),Repulsion Energy (Eh),Isotropic ES (Eh),AnisotropicES (Eh),AnisotropicXC (Eh),Dispersion Energy (Eh),HOMO Energy (Eh),LUMO Energy (Eh),NFOD,Molecular Dipole,HAS_5MEMBERED_HETEROCYCLE_OR_QUINOLINE
CNc1cccc2ncccc12,2.2765,1,2,2,24.92,22,51.2897,True,False,False,False,158.204,False,False,False,"InChI=1S/C10H10N2/c1-11-9-5-2-6-10-8(9)4-3-7-12-10/h2-7,11H,1H3",BDLNGDAQWHSFBU-UHFFFAOYSA-N,348010,['Ambeed'],NONE,NONE,NONE,NONE,NONE,https://www.ambeed.com/products/7506-67-4.html,BDLNGDAQWHSFBU-UHFFFAOYSA-N,-32.35163203,6067.141129,146473.7515,124.128524,3.721,2.532310791,0.575957338,0.014321004,0.007682425,0.022716938,-0.02116548,-0.3520206,-0.2589598,0.2962,4.371,True
Cc1cc(C)c2nccc(Cl)c2c1,3.50504,0,1,2,12.89,23,56.227,True,False,False,False,191.661,False,False,False,"InChI=1S/C11H10ClN/c1-7-5-8(2)11-9(6-7)10(12)3-4-13-11/h3-6H,1-2H3",OREYGYAAYFXMIZ-UHFFFAOYSA-N,17039881,"['Sigma-Aldrich', 'Ambeed', 'Combi-Blocks']",https://www.combi-blocks.com/cgi-bin/find.cgi?ST-6794,https://www.sigmaaldrich.com/catalog/product/aldrich/bbo000167?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral,NONE,NONE,NONE,https://www.ambeed.com/products/196803-72-2.html,OREYGYAAYFXMIZ-UHFFFAOYSA-N,-36.14634978,7649.994689,201643.8824,138.425961,0.717,2.62440539,0.564445134,0.012995116,0.001249207,0.021116015,-0.023971464,-0.3744778,-0.2780326,0.2626,1.406,True
COc1nc2ccccc2cc1C=O,2.0559,0,3,3,39.19,23,53.6825,True,False,False,False,187.198,False,False,False,"InChI=1S/C11H9NO2/c1-14-11-9(7-13)6-8-4-2-3-5-10(8)12-11/h2-7H,1H3",HMZDGMVJEGFPHU-UHFFFAOYSA-N,838868,"['Combi-Blocks', 'Ambeed', 'Sigma-Aldrich']",https://www.combi-blocks.com/cgi-bin/find.cgi?QK-1667,https://www.sigmaaldrich.com/catalog/product/aldrich/cds008048?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral,NONE,NONE,NONE,https://www.ambeed.com/products/139549-06-7.html,HMZDGMVJEGFPHU-UHFFFAOYSA-N,-39.18774624,7114.241166,173288.8061,133.196047,3.581,2.192579516,0.584789498,0.043701401,0.002697929,0.016677836,-0.022533874,-0.3823233,-0.3017474,0.4175,4.042,True
Cc1ccc2ccc(O)cc2n1,2.24882,1,2,2,33.12,21,48.1448,True,False,False,False,159.188,False,False,False,"InChI=1S/C10H9NO/c1-7-2-3-8-4-5-9(12)6-10(8)11-7/h2-6,12H,1H3",MUDWVGFCPWBBEP-UHFFFAOYSA-N,135451969,"['Combi-Blocks', 'Ambeed']",https://www.combi-blocks.com/cgi-bin/find.cgi?QE-5297,NONE,NONE,NONE,NONE,https://www.ambeed.com/products/165112-03-8.html,MUDWVGFCPWBBEP-UHFFFAOYSA-N,-32.99880832,5641.235249,137924.3328,119.187214,1.068,2.608781765,0.536197585,0.02966291,0.004073374,0.017540226,-0.019466326,-0.3629037,-0.2670327,0.2396,1.101,True
Cn1ccc2c(C(=O)O)ccnc21,1.2715,1,4,2,55.12,21,47.6733,True,False,False,False,176.175,False,False,False,"InChI=1S/C9H8N2O2/c1-11-5-3-6-7(9(12)13)2-4-10-8(6)11/h2-5H,1H3,(H,12,13)",FDPGPKFADPMZLJ-UHFFFAOYSA-N,40059462,"['Combi-Blocks', 'Ambeed']",https://www.combi-blocks.com/cgi-bin/find.cgi?QB-0061,NONE,NONE,NONE,NONE,https://www.ambeed.com/products/1147753-38-5.html,FDPGPKFADPMZLJ-UHFFFAOYSA-N,-37.36370458,5831.026425,140329.5923,119.370325,1.713,2.513322896,0.49376591,0.060089583,0.00038108,0.014317607,-0.020182503,-0.377833,-0.2854701,0.2982,2.39,True
OCc1cnc2ccccc2c1,1.7271,1,2,2,33.12,21,47.6658,True,False,False,False,159.188,False,False,False,"InChI=1S/C10H9NO/c12-7-8-5-9-3-1-2-4-10(9)11-6-8/h1-6,12H,7H2",FLGKQMOTLCGOQH-UHFFFAOYSA-N,12662983,"['Combi-Blocks', 'Ambeed']",https://www.combi-blocks.com/cgi-bin/find.cgi?QY-5563,NONE,NONE,NONE,NONE,https://www.ambeed.com/products/13669-51-7.html,FLGKQMOTLCGOQH-UHFFFAOYSA-N,-32.97423146,5668.130798,138168.6203,119.551281,3.244,2.485580241,0.536896457,0.030747504,0.0039699,0.017807607,-0.019608464,-0.363981,-0.2726376,0.2628,3.503,True
Nc1ccc([N+](=O)[O-])c2cccnc12,1.7252,1,4,2,82.05,21,52.8098,True,False,False,False,189.174,False,False,False,"InChI=1S/C9H7N3O2/c10-7-3-4-8(12(13)14)6-2-1-5-11-9(6)7/h1-5H,10H2",JWYRVNFQSPOLHQ-UHFFFAOYSA-N,4361155,['Ambeed'],NONE,NONE,NONE,NONE,NONE,https://www.ambeed.com/products/42606-38-2.html,JWYRVNFQSPOLHQ-UHFFFAOYSA-N,-39.65882359,6435.32297,156547.0596,126.121651,7.225,2.227763421,0.538965275,0.070324216,0.002308198,0.013132354,-0.021911604,-0.3904703,-0.3086015,0.4692,8.265,True
O=C(O)Cn1ccc2cccnc21,1.1209,1,4,2,55.12,21,47.3688,True,False,False,False,176.175,False,False,False,"InChI=1S/C9H8N2O2/c12-8(13)6-11-5-3-7-2-1-4-10-9(7)11/h1-5H,6H2,(H,12,13)",RPYQVSLCGITEHQ-UHFFFAOYSA-N,22139374,"['Combi-Blocks', 'Sigma-Aldrich', 'Ambeed']",https://www.combi-blocks.com/cgi-bin/find.cgi?QJ-9489,https://www.sigmaaldrich.com/catalog/product/aldrich/cds023100?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral,NONE,NONE,NONE,https://www.ambeed.com/products/1048913-13-8.html,RPYQVSLCGITEHQ-UHFFFAOYSA-N,-37.35389432,5848.864848,140566.1472,119.556028,1.94,3.250713773,0.515208303,0.058160768,0.001058529,0.015425011,-0.019883018,-0.3704168,-0.2509553,0.1695,1.933,True
CC(=O)n1ccc(-c2ccccn2)n1,1.6052,0,4,2,47.78,23,51.7585,True,False,False,False,187.202,False,False,False,"InChI=1S/C10H9N3O/c1-8(14)13-7-5-10(12-13)9-4-2-3-6-11-9/h2-7H,1H3",VDVVDTCZVOULJA-UHFFFAOYSA-N,75481625,['Ambeed'],NONE,NONE,NONE,NONE,NONE,https://www.ambeed.com/products/162435-05-4.html,VDVVDTCZVOULJA-UHFFFAOYSA-N,-38.81779255,7137.362272,171841.2398,133.019089,5.401,2.392838896,0.569277336,0.037962754,0.008828575,0.026225768,-0.021221347,-0.3706217,-0.2826865,0.3231,5.846,True
FC(F)(F)c1cccc2cccnc12,3.2536,0,1,0,12.89,20,46.745,True,False,False,False,197.159,False,False,False,"InChI=1S/C10H6F3N/c11-10(12,13)8-5-1-3-7-4-2-6-14-9(7)8/h1-6H",AJXUSUNIYLSPER-UHFFFAOYSA-N,12647568,"['Ambeed', 'Sigma-Aldrich', 'VWR, Part of Avantor', 'Combi-Blocks', 'VWR, Part of Avantor', 'Thermo Fisher Scientific', 'Thermo Fisher Scientific']",https://www.combi-blocks.com/cgi-bin/find.cgi?HC-2121,https://www.sigmaaldrich.com/catalog/product/aldrich/cds023036?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral,NONE,https://www.thermofisher.com/order/catalog/product/H61267.03,https://us.vwr.com/store/product/17786010/8-trifluoromethyl-quinoline-98,https://www.ambeed.com/products/317-57-7.html,AJXUSUNIYLSPER-UHFFFAOYSA-N,-41.59997662,5731.105121,140118.4788,118.368356,6.064,2.337159997,0.506762098,0.04988525,-3.9e-05,-0.000784108,-0.020424399,-0.3894429,-0.3035538,0.2898,5.745,True
