SMILES,Crippen_logp,NumHDonors,NumHAcceptors,NumRotatableBonds,TPSA,natoms,refractivity,HAS_PYR_H,HAS_MULTIPLE_PYR
Cc1ccnc(NC(=O)C(=O)Nc2cc(C)ccn2)c1,1.6706399999999997,2,4,4,83.98,34,75.20740000000002,True,True
Cc1cnc(-c2ccncc2)c(Cl)c1,3.1054200000000014,0,2,2,25.78,23,57.215000000000025,True,True
COc1cncc(-c2nc3ncccc3c(=O)n2N)c1,0.5758999999999999,1,7,4,95.92,31,73.73140000000001,True,True
c1ccc(-c2n[nH]c(-c3ccccn3)n2)nc1,1.9286999999999992,1,4,2,67.35,26,62.84470000000002,True,True
N#Cc1cncc(-c2cccnc2)c1,2.0152799999999997,0,3,1,49.57,21,52.18300000000002,True,True
CC(=O)c1cnc2nc(C)ccc2c1O,1.8464199999999995,1,4,4,63.08,25,55.94430000000002,True,True
Cc1ccc(-c2cccnc2)c(F)n1,2.59112,0,2,2,25.78,23,52.16300000000002,True,True
Cc1ccc(Cl)nc1C(=O)c1nc(Cl)ccc1C,3.631240000000002,0,3,4,42.85,28,71.40050000000002,True,True
NCc1cccc(-c2cccnc2)n1,1.6022999999999998,1,3,3,51.8,25,55.359400000000015,True,True
Fc1cc(CBr)cnc1-c1cccnc1,3.1776000000000018,0,2,2,25.78,23,60.057000000000016,True,True
Br.O=C(O)c1ccc2cccnc2n1,1.9058999999999997,1,4,1,63.08,21,56.81930000000001,True,True
Cc1ccc2ccc3ccc(C)nc3c2n1.Cl,3.8216400000000026,0,2,2,25.78,30,73.76600000000002,True,True
COC(=O)c1cc2c(=O)n(C3CC3)ccc2nc1C,1.8264199999999997,0,5,4,61.190000000000005,33,70.35050000000003,True,True
CCOC(=O)c1ccc(C(F)(F)F)nc1-c1ccccn1,3.339100000000002,0,4,4,52.08,32,68.42650000000003,True,True
O=C(NCc1ccccn1)c1cnc2ccc(F)cc2c1O,2.404500000000001,2,4,4,75.11,34,78.77300000000001,True,True
Brc1ccnc(-c2ccccn2)c1,2.9061000000000012,0,2,1,25.78,20,55.16800000000002,True,True
N#CCc1nc(-c2cccnc2)ccc1-c1cccnc1,3.2716800000000017,0,4,3,62.46,33,80.01600000000003,True,True
COC(OC)c1ccc2cnccc2n1,1.9212,0,4,5,44.24,27,56.297000000000025,True,True
CN(CCc1ccccn1)CCc1ccccn1,2.1936,0,3,7,29.020000000000003,37,73.37900000000005,True,True
Nc1ccc(-c2ccncc2)cn1,1.7258,1,3,2,51.8,22,51.880400000000016,True,True
CCOC(=O)c1ccc(C)nc1-c1ccccn1,2.6287200000000004,0,4,5,52.08,32,68.16150000000003,True,True
O=c1[nH]cccc1-c1nc(-c2ccncc2)no1,1.4869,1,5,2,84.67,26,63.5857,True,True
Cc1cc(O)c2cc(C(=O)Nc3ccncc3)ccc2n1,2.8961200000000007,2,4,4,75.11,34,80.33500000000002,True,True
Cc1ccnc(-c2cncc(C(=O)O)c2)c1,2.15022,1,4,3,63.08,26,59.16430000000002,True,True
Nc1ncc(-c2ccncc2)cc1C(=O)O,1.424,2,5,3,89.10000000000001,25,58.839700000000015,True,True
Cc1ccnc(-c2cc(C)cc(Br)n2)c1,3.522940000000002,0,2,3,25.78,26,64.64200000000002,True,True
CCOc1ccc(-c2ccncc2)cn1,2.5423,0,3,4,35.010000000000005,27,58.63700000000003,True,True
Fc1ccc(-c2ccccn2)cn1,2.2826999999999993,0,2,1,25.78,20,47.426000000000016,True,True
Ic1cncc(-c2ccncc2)c1,2.7482000000000006,0,2,1,25.78,20,60.185000000000024,True,True
ON(CCc1ccccn1)CCc1ccccn1,1.953,1,4,7,49.25,35,69.24150000000003,True,True
Nc1ncc(-c2cccnc2)cc1Cl,2.3792,1,3,2,51.8,22,56.89040000000002,True,True
Clc1ccc(-c2cccnc2)cc1-c1ccncc1,4.464000000000003,0,2,2,25.78,30,77.91400000000003,True,True
COc1cncc(-c2ccncc2)c1CC#N,2.21828,0,4,4,58.8,28,63.33700000000003,True,True
OCc1ccnc(Cl)c1-c1ccncc1,2.2893,1,3,3,46.010000000000005,24,58.400800000000025,True,True
CN(CCc1ccncc1)c1ccc(N)cn1,1.7376999999999998,1,4,6,55.040000000000006,33,69.86040000000003,True,True
Fc1cccc(NCc2ccncc2)n1,2.2277999999999993,1,3,3,37.81,25,55.75870000000002,True,True
Clc1ccc(-c2ccc(-c3cccnc3)nc2)cn1,3.859000000000002,0,3,2,38.67,29,75.70900000000003,True,True
Cc1ccc(-c2cccnc2)cc1-c1cccnc1,4.119020000000003,0,2,3,25.78,33,77.64100000000003,True,True
N#Cc1cc(Cl)nc(Sc2ccccn2)c1,3.1528800000000015,0,4,2,49.57,22,62.322000000000024,True,True
O=C(Nc1ccncc1)c1ncccc1O,1.4344999999999997,2,4,3,75.11,25,58.09200000000002,True,True
COC(=O)c1cc(-c2ccncc2)ncc1F,2.0693,0,4,3,52.08,26,58.76550000000002,True,True
O=C(O)Cc1c(-c2cccnc2)cccc1-c1cccnc1,3.437700000000002,1,4,4,63.08,36,84.24380000000005,True,True
