Name,Etot (Eh),C6AA_DISPERSION,C8AA_DISPERSION,Molecular Polarizability,Dipole from Density,HOMO/LUMO Gap (eV),Repulsion Energy (Eh),Isotropic ES (Eh),AnisotropicES (Eh),AnisotropicXC (Eh),Dispersion Energy (Eh),HOMO Energy (Eh),LUMO Energy (Eh),NFOD,Molecular Dipole
DYJXIWBFYJAJPD-UHFFFAOYSA-N,-35.40862479,7184.518777,161108.6578,130.727807,2.483,3.268418904,0.533020915,0.017571037,0.009824502,0.028047446,-0.022202448,-0.3554638,-0.2353516,0.1441,2.504
FSWNPAICGSWQJU-UHFFFAOYSA-N,-31.18772291,5399.100587,124760.8293,113.666891,2.965,3.231635429,0.487759564,0.018458944,0.006987656,0.026010185,-0.019606196,-0.3630232,-0.2442628,0.1404,3.449
BNGWKXUIDHFROZ-UHFFFAOYSA-N,-37.65383445,8405.531954,203732.4429,146.448147,2.514,3.451557383,0.658321313,0.019382577,0.007666522,0.026314321,-0.026055614,-0.35982,-0.2329776,0.1519,2.46
PISWNSJFMUGNKU-UHFFFAOYSA-N,-41.98997599,6017.46386,144463.809,119.654663,2.925,2.37778672,0.466133616,0.095790078,0.002808127,0.012028069,-0.018456448,-0.3998528,-0.3124707,0.4368,3.567
FGLGZAUXFZXZFL-UHFFFAOYSA-N,-42.14508412,6967.825706,162527.5165,127.23117,4.605,2.869833104,0.495314448,0.07095618,0.003738688,0.013924286,-0.020588575,-0.3824162,-0.2769518,0.1873,5.362
MXEIFGRJRCYUDJ-UHFFFAOYSA-N,-36.81966788,5727.824206,147791.6205,116.973979,2.792,2.655808894,0.399838216,0.051694508,0.000850083,0.013522755,-0.016825321,-0.3932506,-0.2956515,0.2313,2.966
IYCJAYLFLSRCSA-UHFFFAOYSA-N,-35.02922744,6260.969789,151728.0466,125.756426,3.917,2.043438252,0.545259415,0.029611118,0.006709367,0.030450064,-0.020139224,-0.3573518,-0.2822568,0.4896,3.988
FALGYAAKAHIFBF-UHFFFAOYSA-N,-36.16701014,6907.931836,166021.8911,131.194262,0.654,2.894998581,0.576695253,0.025260413,0.002337221,0.018886195,-0.022382522,-0.3684619,-0.2620726,0.1944,0.771
ANPGUJZUWRYNKV-UHFFFAOYSA-N,-40.40636143,8938.152038,219560.0257,150.751201,3.378,2.232351882,0.680197757,0.029465703,0.00318546,0.02498705,-0.025520664,-0.3800891,-0.2980517,0.3996,6.283
FVNMEZMALQNFNF-UHFFFAOYSA-N,-36.23591747,5374.684097,124994.206,113.050789,3.464,3.268563797,0.430633732,0.071908541,0.008974933,0.013512395,-0.019132671,-0.37684,-0.2567224,0.1309,3.493
