SMILES,Crippen_logp,NumHDonors,NumHAcceptors,NumRotatableBonds,TPSA,natoms,refractivity,HAS_PYR_H
CC(C)c1[nH]c(=O)c(C#N)c2c1CCCC2,2.24878,1,2,3,56.65,32,62.508700000000026,False
CCc1ccccc1NCc1c(C)[nH]c2ccccc2c1=O,4.011020000000002,2,2,6,44.89,42,92.45240000000004,False
N#Cc1c(N)nc2c(c1N)CC(=O)N2c1ccc(Cl)cc1,1.99188,2,5,3,109.03,31,80.0788,False
CC(C)c1nc(Cl)c(C#N)c2c1COCC2,2.802780000000001,0,3,3,45.91,29,61.41100000000003,False
O=C(O)c1nc2ccccc2c(C(=O)O)c1-c1ccccc1,3.298200000000002,2,5,3,87.49,33,81.09760000000003,False
COc1cccc2c(O)c(-c3ccccc3)c(=O)[nH]c12,2.9093,2,3,4,62.32,33,78.22150000000002,False
Cn1c2ccccc2c(=O)c2cc(Br)ccc21,3.454200000000002,0,2,1,22.0,27,74.39500000000002,False
CCN(CC)c1nc(N)c(C#N)c(CC#N)c1C#N,1.31944,1,6,7,113.51999999999998,33,70.95740000000002,False
COc1cc2nc3c(c(N)c2cc1OC)CCCC3,2.713000000000001,1,4,5,57.370000000000005,37,75.90140000000004,False
Cc1nc2[nH]nc(N)c2c(C)c1Cl,1.81034,2,3,3,67.59,22,52.785100000000014,False
Cc1c2c(nc3ccccc13)C(Cl)CCC2.Cl,4.581220000000004,0,1,1,12.89,32,75.26000000000003,False
CCc1nc2ccccc2c(C(=O)NC2CCCCC2)c1C,4.168120000000004,1,2,5,41.99,46,90.19720000000004,False
O=C(O)c1c2c(nc3ccc(Cl)cc13)CCCCC2,3.8553000000000024,1,3,1,50.19,33,74.97130000000003,False
Cc1c2ccccc2nc2c1ccc1ccccc12,4.849620000000003,0,1,1,12.89,32,81.49200000000005,False
COc1ccc2nc3ccccc3c(Cl)c2c1,4.0500000000000025,0,2,2,22.12,27,70.81100000000002,False
Cc1c(O)nc2ccccc2c1C(=O)O,1.94702,2,4,3,70.42,24,55.104100000000024,False
COc1nc(OC)c(OC)c(C(=O)O)c1Cl,1.459,1,6,7,77.88,26,55.86230000000002,False
Nc1nc2ccccc2c2ccc(C(F)(F)F)cc12,3.9890000000000017,1,2,1,38.91,28,68.66340000000001,False
Cc1c(C(C)C)nc2onc(C)c2c1C(=O)O,2.6612400000000003,1,5,6,76.22,31,62.32630000000002,False
Cc1nc2ccccc2c2ccc(N)cc12,3.278620000000001,1,2,2,38.91,28,68.39840000000002,False
COc1cc2nc(C)c(C)c(Cl)c2cc1OC,3.522240000000002,0,3,6,31.35,31,69.33100000000003,False
Cc1nc2ccc(F)cc2c(Cl)c1C,3.644140000000002,0,1,2,12.89,23,56.185000000000024,False
Cc1nc(O)c(C#N)c(C)c1[N+](=O)[O-],1.18392,1,5,4,100.05,21,46.74520000000001,False
O=[N+]([O-])c1ccc2nc3c(c(Cl)c2c1)CCCC3,3.675200000000002,0,3,1,56.03,29,70.04940000000002,False
Cc1[nH]c2c(F)cc(Cl)cc2c(=O)c1-c1ccccc1,4.296020000000002,1,1,2,32.86,31,79.70970000000001,False
N#CCc1c(C#N)c(N)nc(N2CCOCC2)c1C#N,0.3098399999999996,1,7,3,122.75,32,70.42840000000001,False
Cc1[nH]c2ccccc2c(=O)c1CCC(=O)OC(C)C,2.720720000000001,1,3,7,59.16,39,78.85470000000004,False
Cc1c(Br)c(Cl)nc2c(F)cccc12,4.098220000000001,0,1,1,12.89,20,59.14800000000001,False
NC(=O)CSc1nc2ccccc2c2ccccc12,2.9654000000000016,1,3,3,55.98,31,79.16740000000003,False
COC(=O)c1c(O)c2cc(Cl)ccc2[nH]c1=O,1.6736999999999995,2,4,3,79.39,25,62.583000000000006,False
CC(C)Cc1c(C#N)c(N)nc2sc(C(N)=O)c(N)c12,1.62978,3,6,7,131.81,35,80.2197,False
O=C1Nc2ccc3c4c(ccc1c24)C(=O)N(CCO)C3=O,0.9938,2,4,3,86.71000000000001,31,74.35400000000001,False
Nc1c2c(nc3ccccc13)N(Cc1ccccc1)CC2,3.3797000000000024,1,3,3,42.15,38,87.35140000000004,False
COc1cc2nc(C)c(C)c(O)c2cc1OC,2.574440000000001,1,4,7,51.58,32,65.98580000000003,False
CCc1c(C#N)c(Cl)nc2c1CCCC2,3.047880000000001,0,2,2,36.68,28,59.98200000000003,False
CSc1nc(C)c(C)c2ccccc12,3.573540000000002,0,2,4,12.89,27,62.99800000000003,False
Cc1nc2c(c(C)nn2C)c(C(=O)O)c1Cl,1.93674,1,5,4,68.01,26,59.952300000000015,False
Cc1nc2onc(C)c2c(C)c1CCC(=O)O,2.16526,1,5,6,76.22,31,61.97180000000002,False
Cc1[nH]c(=S)c(C#N)c2c1CCCC2,2.803090000000001,1,2,1,39.58,26,57.72070000000002,False
N#Cc1c(Cl)nc2c(c1-c1ccccc1F)CCC2,3.901480000000002,0,2,1,36.68,29,71.38100000000001,False
