SMILES,Crippen_logp,NumHDonors,NumHAcceptors,NumRotatableBonds,TPSA,natoms,refractivity,HAS_PYR_H,HAS_MULTIPLE_PYR,HAS_FRAGMENTS
C=CCNCc1ccccn1.Cl.Cl,2.200800000000001,1,2,4,24.92,27,60.63670000000003,True,False,True
Cl.NCc1cc2c(cn1)OCCO2,0.7332999999999998,1,4,2,57.370000000000005,24,50.36640000000002,True,False,True
Brc1cccnc1C1CNC1.Cl,1.9526999999999997,1,2,1,24.92,22,54.795700000000025,True,False,True
Cl.Cl.c1cc(C2CCCNC2)ccn1,2.3922,1,2,1,24.92,30,63.57770000000003,True,False,True
Cl.Cl.NCC1(c2cccnc2)CCOCC1,1.9321,1,3,3,48.14,34,69.51840000000003,True,False,True
Cl.NNCc1ccncc1,0.4667,2,3,3,50.94,20,42.51210000000002,True,False,True
Cl.O=C(O)C1CCCN1C(=O)c1cncc(O)c1,0.8981999999999999,2,5,3,90.73,31,64.84410000000003,True,False,True
CCCNCc1ccncc1.Cl,2.003000000000001,1,2,5,24.92,27,53.48270000000004,True,False,True
Cl.OCC1CCCN1c1ccccn1,1.4645,1,3,3,36.36,29,58.93880000000003,True,False,True
CNc1ccc(N)nc1.Cl.Cl,1.5490999999999993,2,3,3,50.94,22,52.69210000000002,True,False,True
Cc1cc(Cl)cnc1CN.Cl,1.92392,1,2,3,38.91,21,49.12340000000002,True,False,True
Cl.NCc1ccc2ncccc2c1,2.1153,1,2,2,38.91,24,56.88240000000002,True,False,True
Cl.N=C(N)c1ncccc1[N+](=O)[O-],0.69567,2,4,2,105.9,20,49.1555,True,False,True
N#CC(C#N)=NC(C#N)C#N.c1ccncc1,0.97192,0,6,1,120.40999999999998,23,57.91200000000002,True,False,True
Br.CCOC(=O)c1cn2ccc(C)cc2n1,2.397320000000001,0,4,4,43.6,29,66.20750000000002,True,False,True
Cl.Cl.NC1(c2cc(Cl)ccn2)CC1,2.5264000000000006,1,2,2,38.91,24,58.84240000000002,True,False,True
Cc1ccc(N2CCC(N)CC2)nc1.Cl.Cl,2.1611200000000013,1,3,3,42.15,35,72.89240000000002,True,False,True
Cl.c1ccc(C2CNC2)nc1,1.1901999999999997,1,2,1,24.92,22,47.09570000000002,True,False,True
Cl.Cl.N=C(NN)c1cccnc1,0.7138700000000002,3,3,2,74.79,22,52.88480000000001,True,False,True
Cl.Cl.NC1CCC(NC(=O)c2cccnc2)CC1,1.9249,2,3,3,68.00999999999999,37,76.43060000000003,True,False,True
Cl.c1cc([C@@H]2CCCN2)ccn1,1.9278999999999995,1,2,1,24.92,25,51.46270000000003,True,False,True
Cl.O=C(O)c1cc(-c2cccnc2)n[nH]1,1.5916999999999992,2,4,2,78.87,23,56.02600000000001,True,False,True
CC12CO[B-](c3ccccn3)(OC1)OC2.[Li+],-2.685199999999998,0,4,2,40.58,29,55.58800000000004,True,False,True
