SMILES,Crippen_logp,NumHDonors,NumHAcceptors,NumRotatableBonds,TPSA,natoms,refractivity,HAS_PYR_H,HAS_MULTIPLE_PYR,HAS_FRAGMENTS,HAS_BAD_NITROGEN,MOL_WT,HAS_SULFONYL_HALIDE,HAS_ACID_HALIDES,INCHI,INCHI_KEY,CID,VENDORS,Combi-Blocks_link,Sigma-Aldrich_link,TCI (Tokyo Chemical Industry)_link,Thermo Fisher Scientific_link,"VWR, Part of Avantor_link",Ambeed_link,Name,Etot (Eh),C6AA_DISPERSION,C8AA_DISPERSION,Molecular Polarizability,Dipole from Density,HOMO/LUMO Gap (eV),Repulsion Energy (Eh),Isotropic ES (Eh),AnisotropicES (Eh),AnisotropicXC (Eh),Dispersion Energy (Eh),HOMO Energy (Eh),LUMO Energy (Eh),NFOD,Molecular Dipole,HAS_5MEMBERED_HETEROCYCLE_OR_QUINOLINE,HAS_PYRADINONE
NS(=O)(=O)NCc1cccnc1,-0.6253,2,3,4,85.08,21,44.1839,True,False,False,False,187.224,False,False,"InChI=1S/C6H9N3O2S/c7-12(10,11)9-5-6-2-1-3-8-4-6/h1-4,9H,5H2,(H2,7,10,11)",VGICHQWDAIZSLB-UHFFFAOYSA-N,21041241,['Combi-Blocks'],https://www.combi-blocks.com/cgi-bin/find.cgi?JK-0171,NONE,NONE,NONE,NONE,NONE,VGICHQWDAIZSLB-UHFFFAOYSA-N,-37.55886143,6301.318409,159649.2336,123.522539,7.756,3.224217781,0.411236763,0.069602974,0.004311744,0.019688252,-0.01952205,-0.3767459,-0.258258,0.1268,7.654,False,False
CC(=O)Nc1ccncc1N,0.6222,2,3,3,68.01,20,42.9531,True,False,False,False,151.169,False,False,"InChI=1S/C7H9N3O/c1-5(11)10-7-2-3-9-4-6(7)8/h2-4H,8H2,1H3,(H,9,10,11)",NAAZXRDKBDXLMS-UHFFFAOYSA-N,10749361,['Ambeed'],NONE,NONE,NONE,NONE,NONE,https://www.ambeed.com/products/145255-15-8.html,NAAZXRDKBDXLMS-UHFFFAOYSA-N,-32.41841877,4637.495646,107672.567,106.100737,5.674,3.125884755,0.42758152,0.052471211,0.006178034,0.017881138,-0.016428404,-0.3644281,-0.249554,0.1466,5.948,False,False
NCCCOc1cccnc1,0.8092,1,3,5,48.14,23,43.4034,True,False,False,False,152.197,False,False,"InChI=1S/C8H12N2O/c9-4-2-6-11-8-3-1-5-10-7-8/h1,3,5,7H,2,4,6,9H2",YMKBFDMRGWLFIS-UHFFFAOYSA-N,10219540,"['Combi-Blocks', 'Sigma-Aldrich']",https://www.combi-blocks.com/cgi-bin/find.cgi?HF-4354,https://www.sigmaaldrich.com/catalog/product/aldrich/cds007702?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral,NONE,NONE,NONE,NONE,YMKBFDMRGWLFIS-UHFFFAOYSA-N,-33.13547327,5264.918491,119048.7947,112.054011,1.546,3.321337832,0.433623012,0.032184473,0.005860351,0.021529764,-0.017018256,-0.3676587,-0.2456018,0.1239,1.764,False,False
COc1nc(C)ccc1CO,0.89092,1,3,5,42.35,22,41.4488,True,False,False,False,153.181,False,False,"InChI=1S/C8H11NO2/c1-6-3-4-7(5-10)8(9-6)11-2/h3-4,10H,5H2,1-2H3",OWDFCQPJTQLELB-UHFFFAOYSA-N,22678477,['Combi-Blocks'],https://www.combi-blocks.com/cgi-bin/find.cgi?HA-4200,NONE,NONE,NONE,NONE,NONE,OWDFCQPJTQLELB-UHFFFAOYSA-N,-33.7977859,4893.688738,111712.0978,107.474218,2.545,3.673396568,0.430640348,0.049408548,0.001697916,0.012296843,-0.017283924,-0.3765977,-0.2416028,0.0861,2.509,False,False
COc1cc(Cl)ncc1C(C)=O,1.9462,0,3,4,39.19,20,45.8035,True,False,False,False,185.61,False,False,"InChI=1S/C8H8ClNO2/c1-5(11)6-4-10-8(9)3-7(6)12-2/h3-4H,1-2H3",MDQJPDZWABDTDY-UHFFFAOYSA-N,92133774,['Ambeed'],NONE,NONE,NONE,NONE,NONE,https://www.ambeed.com/products/1798295-03-0.html,MDQJPDZWABDTDY-UHFFFAOYSA-N,-36.80710226,5726.524607,147929.5579,117.0046,0.823,2.701318811,0.404237908,0.048252195,0.003526332,0.012312859,-0.018260053,-0.3927138,-0.2934422,0.2435,1.068,False,False
Cc1ccnc(-c2ccccc2F)c1,3.19612,0,1,2,12.89,24,54.368,True,False,False,False,187.217,False,False,"InChI=1S/C12H10FN/c1-9-6-7-14-12(8-9)10-4-2-3-5-11(10)13/h2-8H,1H3",TZPAVDQMASHXDZ-UHFFFAOYSA-N,23061526,"['Combi-Blocks', 'Ambeed']",https://www.combi-blocks.com/cgi-bin/find.cgi?HB-0033,NONE,NONE,NONE,NONE,https://www.ambeed.com/products/886444-12-8.html,TZPAVDQMASHXDZ-UHFFFAOYSA-N,-38.44241831,7488.928062,183854.3512,137.633383,0.831,2.761102537,0.637070494,0.020525827,0.00190169,0.019902574,-0.022985432,-0.3687713,-0.2673027,0.2105,0.961,False,False
Cc1cccnc1CNC1CC1,1.64202,1,2,4,24.92,26,48.8357,True,False,False,False,162.236,False,False,"InChI=1S/C10H14N2/c1-8-3-2-6-11-10(8)7-12-9-4-5-9/h2-3,6,9,12H,4-5,7H2,1H3",VUBZGJKVRNGUIN-UHFFFAOYSA-N,62341350,['Combi-Blocks'],https://www.combi-blocks.com/cgi-bin/find.cgi?QD-1631,NONE,NONE,NONE,NONE,NONE,VUBZGJKVRNGUIN-UHFFFAOYSA-N,-34.36392075,6620.343566,151645.7848,125.395466,2.335,3.138230127,0.512673558,0.017487095,0.007149646,0.027542328,-0.021394875,-0.3530985,-0.2377707,0.1556,1.872,False,False
c1ccc(-c2cccnc2)cc1,2.7486,0,1,1,12.89,21,49.673,True,False,False,False,155.2,False,False,InChI=1S/C11H9N/c1-2-5-10(6-3-1)11-7-4-8-12-9-11/h1-9H,HJKGBRPNSJADMB-UHFFFAOYSA-N,13886,"['TCI (Tokyo Chemical Industry)', 'Thermo Fisher Scientific', 'Thermo Fisher Scientific', 'Combi-Blocks', 'Sigma-Aldrich']",https://www.combi-blocks.com/cgi-bin/find.cgi?OR-1470,https://www.sigmaaldrich.com/catalog/product/aldrich/209732?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral,http://www.tcichemicals.com/eshop/en/us/commodity/P1040/index.html,https://www.thermofisher.com/order/catalog/product/B23930.14,NONE,NONE,HJKGBRPNSJADMB-UHFFFAOYSA-N,-31.04071348,6064.5734,150657.0709,125.866551,1.707,3.026668652,0.596540058,0.007062566,0.004290623,0.024927675,-0.020023217,-0.368849,-0.257621,0.175,1.969,False,False
N[C@@H](Cc1ccccn1)C(=O)O,0.036,2,4,4,76.21,22,43.5522,True,False,False,False,166.18,False,False,"InChI=1S/C8H10N2O2/c9-7(8(11)12)5-6-3-1-2-4-10-6/h1-4,7H,5,9H2,(H,11,12)/t7-/m0/s1",PDRJLZDUOULRHE-ZETCQYMHSA-N,2761499,"['Combi-Blocks', 'Sigma-Aldrich', 'Ambeed']",https://www.combi-blocks.com/cgi-bin/find.cgi?OR-4260,https://www.sigmaaldrich.com/catalog/product/aldrich/71836?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral,NONE,NONE,NONE,https://www.ambeed.com/products/37535-51-6.html,PDRJLZDUOULRHE-ZETCQYMHSA-N,-36.19817657,5395.701154,125097.9228,113.350224,0.944,3.289553679,0.449514325,0.064886906,0.002502961,0.019566095,-0.018574821,-0.3671241,-0.2462353,0.1531,0.957,False,False
COC(=O)c1cnccc1C(=O)O,0.5664,1,5,3,76.49,20,42.5358,True,False,False,False,181.147,False,False,"InChI=1S/C8H7NO4/c1-13-8(12)6-4-9-3-2-5(6)7(10)11/h2-4H,1H3,(H,10,11)",GTCDOGAERTYZBT-UHFFFAOYSA-N,820552,"['Combi-Blocks', 'Ambeed']",https://www.combi-blocks.com/cgi-bin/find.cgi?JP-0985,NONE,NONE,NONE,NONE,https://www.ambeed.com/products/24202-79-7.html,GTCDOGAERTYZBT-UHFFFAOYSA-N,-39.89214972,5230.115021,123631.8601,111.164819,1.72,2.560541955,0.430309123,0.095445491,-0.001686521,0.009129718,-0.017722973,-0.3941714,-0.3000733,0.2461,1.135,False,False
