SMILES,Crippen_logp,NumHDonors,NumHAcceptors,NumRotatableBonds,TPSA,natoms,refractivity,HAS_PYR_H,HAS_MULTIPLE_PYR,HAS_FRAGMENTS,HAS_BAD_NITROGEN
Cc1cc2ccccn2c1C(=O)c1ccc(F)cc1,3.617820000000002,0,2,3,21.48,31,71.96650000000002,True,False,False,True
c1ccn2c(N3CCNCC3)cnc2c1,0.7438999999999996,1,4,1,32.57,29,60.27470000000003,True,False,False,True
Nc1cc(C(F)(F)F)cn2ccnc12,1.9353,1,3,1,43.32,20,44.60640000000001,True,False,False,True
Cc1ccccc1-n1cc(C(=O)O)c2ccccc2c1=O,2.99732,1,4,3,59.3,34,81.24130000000004,True,False,False,True
COC(=O)c1cnc2ccc(C(F)(F)F)cn12,2.1396999999999995,0,4,2,43.599999999999994,24,51.5335,True,False,False,True
CCN(CC)C(=S)SCc1cn2ccccc2n1,3.1942000000000013,0,4,6,20.54,35,82.00600000000004,True,False,False,True
COc1ccc(-c2nc(CO)c3ccccn23)cc1,2.5022,1,4,5,46.760000000000005,33,73.10280000000003,True,False,False,True
NCc1nc(C2CC2)n2ccccc12,1.6704,1,3,3,43.31999999999999,27,55.05840000000002,True,False,False,True
CON=Cc1c(-c2ccc(Cl)cc2)nc2cc(C)ccn12,3.9434200000000033,0,4,5,38.89,35,84.97800000000002,True,False,False,True
CCOC(=O)Cc1cnc2cc(Br)ccn12,2.2024,0,4,4,43.599999999999994,27,63.22900000000003,True,False,False,True
COC(=N)c1nc(N(C)C)n2ccccc12,1.3720699999999997,1,5,5,53.620000000000005,30,63.35670000000003,True,False,False,True
CCOC(=O)c1nc2ccc(F)cn2c1Br,2.4126000000000003,0,4,3,43.599999999999994,24,58.80650000000002,True,False,False,True
Cc1ccnc(-n2c(S)nc3ccccc3c2=O)c1,2.37782,1,5,3,47.78,30,77.12400000000002,True,False,False,True
Cc1ccc(-n2c(S)nnc2-c2ccncc2)cc1C,3.234840000000001,1,5,5,43.6,34,81.31600000000003,True,False,False,True
Cc1noc(-c2ccc3nnc(CCl)n3c2)n1,1.8265199999999997,0,6,3,69.11,25,60.57300000000002,True,False,False,True
Cc1ccc2nc(C)c(C=O)n2c1,1.76364,0,3,3,34.370000000000005,23,50.053500000000014,True,False,False,True
CC(C)(C)c1cn2ccc(C(=O)O)cc2n1,2.33,1,4,1,54.6,30,60.85130000000003,True,False,False,True
CCOC(=O)c1cnc2c(O)cccn2c1=O,0.5768,1,6,4,80.9,27,59.083300000000015,True,False,False,True
Cc1ccn2c(=O)nc(SCc3ccccc3)nc2c1,2.690220000000001,0,5,4,47.260000000000005,33,79.99700000000003,True,False,False,True
O=c1[nH]nc2c(S(=O)(=O)N3CCCCCC3)cccn12,0.5872999999999995,1,5,2,87.53999999999999,36,73.03950000000003,True,False,False,True
Cc1ccc2nc(C)c(-c3csc(N)n3)n2c1,2.65684,1,5,4,56.209999999999994,29,70.1864,True,False,False,True
CN(C)c1nc(C(N)=S)c2ccccn12,1.0345,1,4,4,46.56,27,65.40640000000002,True,False,False,True
NC(=NO)c1ccc2ncc(Br)n2c1,1.1913,2,4,2,75.91,21,55.4029,True,False,False,True
C=C(C)CSCCc1c(O)nc2ccc(C)cn2c1=O,2.56032,1,5,8,54.6,38,83.70680000000003,True,False,False,True
