SMILES,Crippen_logp,NumHDonors,NumHAcceptors,NumRotatableBonds,TPSA,natoms,refractivity,HAS_PYR_H,HAS_MULTIPLE_PYR,HAS_FRAGMENTS,HAS_BAD_NITROGEN,MOL_WT,HAS_SULFONYL_HALIDE,HAS_ACID_HALIDES
Cc1ccc2nc(-c3ccccc3)cc(C(=O)Cl)c2c1,4.589220000000002,0,2,3,29.96,32,82.09950000000002,True,False,False,False,281.7419999999998,False,True
O=C(Cl)c1cc(-c2ccc(F)cc2)nc2ccccc12,4.419900000000003,0,2,2,29.96,29,77.32050000000002,True,False,False,False,285.7049999999998,False,True
COc1cccc2c(C(=O)Cl)cc(-c3ccccc3)nc12,4.289400000000003,0,3,4,39.19,33,83.91450000000003,True,False,False,False,297.74099999999976,False,True
O=C(Cl)c1ccc(F)cc1-c1cccnc1,3.266700000000002,0,2,2,29.96,23,59.814500000000024,True,False,False,False,235.64500000000004,False,True
Cc1ccc2nc(-c3ccccc3C)cc(C(=O)Cl)c2c1,4.897640000000003,0,2,4,29.96,35,86.83650000000003,True,False,False,False,295.7689999999998,False,True
O=C(Cl)c1ccc2nccc(O)c2c1,2.3194,1,3,2,50.19,20,53.59130000000002,True,False,False,False,207.61600000000004,False,True
COc1ccc(C(=O)Cl)c(OC)n1,1.4778,0,4,5,48.42,21,47.52450000000002,True,False,False,False,201.6090000000001,False,True
Cc1ccc(-c2cc(C(=O)Cl)c3cccc(C)c3n2)cc1,4.8976400000000035,0,2,4,29.96,35,86.83650000000002,True,False,False,False,295.7689999999997,False,True
Cc1cc(C(=O)Cl)c2ncccc2c1,2.922220000000001,0,2,2,29.96,22,56.66350000000002,True,False,False,False,205.64400000000003,False,True
Cc1ccc(-c2cc(C(=O)Cl)c3cc(C)ccc3n2)cc1,4.8976400000000035,0,2,4,29.96,35,86.83650000000002,True,False,False,False,295.7689999999997,False,True
O=C(Cl)c1cc(O)c2cccc(O)c2n1,2.025,2,4,3,70.42,21,55.25610000000002,True,False,False,False,223.61500000000004,False,True
CCCc1cc(C(=O)Cl)cc(Cl)n1,3.0665000000000022,0,2,4,29.96,22,53.42550000000002,True,False,False,False,218.08300000000008,False,True
O=C(Cl)c1cc(-c2ccncc2)ccc1C(F)(F)F,4.146400000000001,0,2,2,29.96,26,64.8585,True,False,False,False,285.6519999999998,False,True
CC(=O)Nc1cc(C(=O)Cl)nc2c(Cl)cccc12,3.225600000000001,1,3,3,59.06,26,71.24020000000002,True,False,False,False,283.11399999999986,False,True
O=C(Cl)c1c(F)c(F)c(-c2cccnc2)c(F)c1F,3.684000000000001,0,2,2,29.96,23,59.688500000000005,True,False,False,False,289.6149999999999,False,True
O=C(Cl)c1ccc(Oc2ccccn2)cc1,3.252900000000002,0,3,3,39.19,24,60.936500000000024,True,False,False,False,233.65400000000005,False,True
O=C(Cl)c1ccc(N2CCOCC2)nc1,1.2972,0,4,2,42.43000000000001,26,57.45250000000003,True,False,False,False,226.6630000000001,False,True
Cc1ccc(-c2cc(C(=O)Cl)c3ccccc3n2)o1,4.182220000000003,0,3,3,43.1,29,74.36550000000003,True,False,False,False,271.7029999999998,False,True
Cc1cc(C)c2nc(-c3ccccc3)cc(C(=O)Cl)c2c1,4.897640000000003,0,2,4,29.96,35,86.83650000000003,True,False,False,False,295.7689999999998,False,True
O=C(Cl)c1ccc(-c2ccncc2)c(F)c1,3.266700000000001,0,2,2,29.96,23,59.81450000000002,True,False,False,False,235.64500000000004,False,True
COc1ccccc1-c1cc(C(=O)Cl)c2ccccc2n1,4.289400000000002,0,3,4,39.19,33,83.91450000000003,True,False,False,False,297.74099999999976,False,True
O=C(Cl)c1cccc(-c2ccccc2)n1,3.127600000000002,0,2,2,29.96,23,59.856500000000025,True,False,False,False,217.6550000000001,False,True
O=C(Cl)c1ccc2cccc(O)c2n1,2.3194000000000004,1,3,2,50.19,20,53.59130000000001,True,False,False,False,207.61600000000004,False,True
O=C(Cl)c1ccc(-c2cccnc2)cc1C(F)(F)F,4.146400000000001,0,2,2,29.96,26,64.8585,True,False,False,False,285.6519999999998,False,True
O=C(Cl)c1ccc(-c2ccc(C(F)(F)F)cn2)cc1,4.146400000000002,0,2,2,29.96,26,64.8585,True,False,False,False,285.6519999999999,False,True
Cc1cccc2c(C(=O)Cl)cc(-c3ccccc3)nc12,4.589220000000003,0,2,3,29.96,32,82.09950000000003,True,False,False,False,281.74199999999973,False,True
Cc1cccc(-c2cc(C(=O)Cl)c3cc(C)ccc3n2)c1,4.8976400000000035,0,2,4,29.96,35,86.83650000000003,True,False,False,False,295.7689999999997,False,True
O=C(Cl)c1cccnc1Oc1ccccc1,3.2529000000000012,0,3,3,39.19,24,60.936500000000024,True,False,False,False,233.65400000000005,False,True
O=C(Cl)C1CC(c2ccccn2)=NO1,1.34,0,4,2,51.55,21,51.12400000000002,True,False,False,False,210.6200000000001,False,True
O=C(Cl)c1cc(N2CCCCC2)ccn1,2.4509,0,3,2,33.2,28,60.484500000000025,True,False,False,False,224.69100000000012,False,True
Cc1ccc(-c2cc(C(=O)Cl)c3cccc(C)c3n2)o1,4.490640000000003,0,3,4,43.1,32,79.10250000000002,True,False,False,False,285.72999999999973,False,True
O=C(Cl)c1cc(F)c(-c2cccnc2)cc1Cl,3.9201000000000015,0,2,2,29.96,23,64.82450000000001,True,False,False,False,270.08999999999986,False,True
O=C(Cl)c1c(F)cccc1-c1cccnc1,3.266700000000002,0,2,2,29.96,23,59.814500000000024,True,False,False,False,235.64500000000004,False,True
CC(C)Cc1cc(C(=O)Cl)cc(Cl)n1,3.3125000000000027,0,2,5,29.96,25,57.972500000000025,True,False,False,False,232.11000000000007,False,True
CCCSc1ncccc1C(=O)Cl,2.9627000000000017,0,3,5,29.96,23,55.435500000000026,True,False,False,False,215.70500000000007,False,True
O=C(Cl)c1ccc(Oc2cccnc2)o1,2.845900000000001,0,4,3,52.33,21,53.202500000000015,True,False,False,False,223.61500000000004,False,True
COc1ccc2c(C(=O)Cl)cc(-c3ccccc3)nc2c1,4.289400000000003,0,3,4,39.19,33,83.91450000000002,True,False,False,False,297.74099999999976,False,True
O=C(Cl)c1cccc(-c2ccncc2)c1F,3.266700000000001,0,2,2,29.96,23,59.81450000000002,True,False,False,False,235.64500000000004,False,True
O=C(Cl)c1cc(F)c(-c2ccncc2)cc1Cl,3.9201000000000015,0,2,2,29.96,23,64.82450000000001,True,False,False,False,270.08999999999986,False,True
O=C(Cl)c1cccnc1Sc1ccccc1,3.6118000000000023,0,3,3,29.96,24,64.98550000000003,True,False,False,False,249.7220000000001,False,True
O=C(Cl)c1cc(-c2cccnc2)ccc1C(F)(F)F,4.146400000000001,0,2,2,29.96,26,64.8585,True,False,False,False,285.6519999999998,False,True
