SMILES,Crippen_logp,NumHDonors,NumHAcceptors,NumRotatableBonds,TPSA,natoms,refractivity,HAS_PYR_H,HAS_MULTIPLE_PYR,HAS_FRAGMENTS,HAS_BAD_NITROGEN,MOL_WT,HAS_SULFONYL_HALIDE,HAS_ACID_HALIDES,HAS_PYRADINONE,INCHI,INCHI_KEY,CID,VENDORS,Combi-Blocks_link,Sigma-Aldrich_link,TCI (Tokyo Chemical Industry)_link,Thermo Fisher Scientific_link,"VWR, Part of Avantor_link",Ambeed_link
CC1(C)CC(=O)Nc2nc(N)ccc21,1.2836,2,3,3,68.01,27,54.9221,True,False,False,False,191.234,False,False,False,"InChI=1S/C10H13N3O/c1-10(2)5-8(14)13-9-6(10)3-4-7(11)12-9/h3-4H,5H2,1-2H3,(H3,11,12,13,14)",HMUJIYFWDVBGMW-UHFFFAOYSA-N,21073906,"['Combi-Blocks', 'Ambeed']",https://www.combi-blocks.com/cgi-bin/find.cgi?QW-7426,NONE,NONE,NONE,NONE,https://www.ambeed.com/products/618446-06-3.html
Nc1ccc(N2CCC(O)CC2)nc1,0.6249,2,4,3,62.38,29,56.1032,True,False,False,False,193.25,False,False,False,"InChI=1S/C10H15N3O/c11-8-1-2-10(12-7-8)13-5-3-9(14)4-6-13/h1-2,7,9,14H,3-6,11H2",JFSQCTGGZLCLFF-UHFFFAOYSA-N,16781994,"['Ambeed', 'Combi-Blocks']",https://www.combi-blocks.com/cgi-bin/find.cgi?QC-0028,NONE,NONE,NONE,NONE,https://www.ambeed.com/products/476342-37-7.html
Nc1ccc2cccc(O)c2n1,1.5226,2,3,2,59.14,20,47.8202,True,False,False,False,160.176,False,False,False,"InChI=1S/C9H8N2O/c10-8-5-4-6-2-1-3-7(12)9(6)11-8/h1-5,12H,(H2,10,11)",UFVLIVCXTIGACT-UHFFFAOYSA-N,4653788,"['Sigma-Aldrich', 'Ambeed', 'Combi-Blocks']",https://www.combi-blocks.com/cgi-bin/find.cgi?QA-5121,https://www.sigmaaldrich.com/catalog/product/sial/08128?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral,NONE,NONE,NONE,https://www.ambeed.com/products/70125-16-5.html
O=[N+]([O-])c1ccc(OCCO)nc1,0.3609,1,5,5,85.49,21,43.4722,True,False,False,False,184.151,False,False,False,"InChI=1S/C7H8N2O4/c10-3-4-13-7-2-1-6(5-8-7)9(11)12/h1-2,5,10H,3-4H2",KESQFSZFUCZCEI-UHFFFAOYSA-N,587937,"['Combi-Blocks', 'Ambeed']",https://www.combi-blocks.com/cgi-bin/find.cgi?QA-7399,NONE,NONE,NONE,NONE,https://www.ambeed.com/products/143071-39-0.html
CCOC(=O)c1n[nH]c2ncccc12,1.1346,1,4,3,67.87,23,49.8452,True,False,False,False,191.19,False,False,False,"InChI=1S/C9H9N3O2/c1-2-14-9(13)7-6-4-3-5-10-8(6)12-11-7/h3-5H,2H2,1H3,(H,10,11,12)",UWPBZBGGTNNWDP-UHFFFAOYSA-N,59832207,['Combi-Blocks'],https://www.combi-blocks.com/cgi-bin/find.cgi?QN-3643,NONE,NONE,NONE,NONE,NONE
c1ccc(CCCc2ccncc2)cc1,3.2569,0,1,4,12.89,30,62.704,True,False,False,False,197.281,False,False,False,"InChI=1S/C14H15N/c1-2-5-13(6-3-1)7-4-8-14-9-11-15-12-10-14/h1-3,5-6,9-12H,4,7-8H2",AQIIVEISJBBUCR-UHFFFAOYSA-N,74937,"['Thermo Fisher Scientific', 'Thermo Fisher Scientific', 'Thermo Fisher Scientific', 'TCI (Tokyo Chemical Industry)', 'Sigma-Aldrich', 'Combi-Blocks']",https://www.combi-blocks.com/cgi-bin/find.cgi?QF-1603,https://www.sigmaaldrich.com/catalog/product/aldrich/121231?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral,http://www.tcichemicals.com/eshop/en/us/commodity/P0218/index.html,https://www.thermofisher.com/order/catalog/product/A13590.0B,NONE,NONE
O=Cc1cc2c(cn1)OCCC2,1.2191,0,3,1,39.19,21,43.4405,True,False,False,False,163.176,False,False,False,"InChI=1S/C9H9NO2/c11-6-8-4-7-2-1-3-12-9(7)5-10-8/h4-6H,1-3H2",DSOLBHZRAGNEPO-UHFFFAOYSA-N,56640311,"['Combi-Blocks', 'Ambeed']",https://www.combi-blocks.com/cgi-bin/find.cgi?QK-2440,NONE,NONE,NONE,NONE,https://www.ambeed.com/products/527681-61-4.html
CN(C)C(=O)c1cc(Cl)ccn1,1.4368,0,2,3,33.2,21,47.2645,True,False,False,False,184.626,False,False,False,"InChI=1S/C8H9ClN2O/c1-11(2)8(12)7-5-6(9)3-4-10-7/h3-5H,1-2H3",UIYJJRGPGYNXNE-UHFFFAOYSA-N,4962252,"['Ambeed', 'Combi-Blocks']",https://www.combi-blocks.com/cgi-bin/find.cgi?PY-7313,NONE,NONE,NONE,NONE,https://www.ambeed.com/products/114780-06-2.html
CCN(CC)c1ncccc1C(=O)O,1.626,1,4,6,53.43,28,54.7573,True,False,False,False,194.234,False,False,False,"InChI=1S/C10H14N2O2/c1-3-12(4-2)9-8(10(13)14)6-5-7-11-9/h5-7H,3-4H2,1-2H3,(H,13,14)",UBHPSUKLWQYINO-UHFFFAOYSA-N,24266717,['Combi-Blocks'],https://www.combi-blocks.com/cgi-bin/find.cgi?JQ-2603,NONE,NONE,NONE,NONE,NONE
CC(=O)c1cc2ccccc2cn1,2.4374,0,2,2,29.96,22,51.7475,True,False,False,False,171.199,False,False,False,"InChI=1S/C11H9NO/c1-8(13)11-6-9-4-2-3-5-10(9)7-12-11/h2-7H,1H3",NLMXNLJJYMMQIF-UHFFFAOYSA-N,11275275,"['Combi-Blocks', 'Ambeed']",https://www.combi-blocks.com/cgi-bin/find.cgi?QB-2520,NONE,NONE,NONE,NONE,https://www.ambeed.com/products/91544-03-5.html
